XR	start	end	chr
XR_002635072.1	9823378	9826292	NC_035780.1
XR_002636555.1	9828921	9830942	NC_035780.1
XR_002638364.1	9986095	9990369	NC_035780.1
XR_002637425.1	10007594	10060975	NC_035780.1
XR_002637423.1	10055565	10057092	NC_035780.1
XR_002637421.1	10057620	10059733	NC_035780.1
XR_002636179.1	10354096	10356964	NC_035780.1
XR_002634991.1	10365133	10370853	NC_035780.1
XR_002637676.1	10397213	10398402	NC_035780.1
XR_002639760.1	10695042	10698483	NC_035780.1
XR_002637696.1	10833064	10834421	NC_035780.1
XR_002637764.1	11190917	11207487	NC_035780.1
XR_002638213.1	11227091	11229977	NC_035780.1
XR_002635760.1	11348167	11353213	NC_035780.1
XR_002639528.1	11659994	11663146	NC_035780.1
XR_002637752.1	12161315	12211411	NC_035780.1
XR_002636558.1	12394444	12396952	NC_035780.1
XR_002635374.1	12433300	12436091	NC_035780.1
XR_002638486.1	12522316	12547436	NC_035780.1
XR_002637599.1	13060085	13061600	NC_035780.1
XR_002637108.1	13127930	13130499	NC_035780.1
XR_002638776.1	13489283	13495696	NC_035780.1
XR_002634884.1	13627207	13632034	NC_035780.1
XR_002636373.1	13754789	13760845	NC_035780.1
XR_002635791.1	13777398	13782910	NC_035780.1
XR_002634844.1	13849997	13852694	NC_035780.1
XR_002639408.1	14009521	14012352	NC_035780.1
XR_002634101.1	14376909	14383781	NC_035780.1
XR_002639331.1	14980744	14985692	NC_035780.1
XR_002639328.1	15250432	15251007	NC_035780.1
XR_002637493.1	15322337	15324317	NC_035780.1
XR_002639142.1	15698676	15702727	NC_035780.1
XR_002639143.1	15702870	15704645	NC_035780.1
XR_002639218.1	15765054	15771302	NC_035780.1
XR_002633990.1	16004280	16006468	NC_035780.1
XR_002633994.1	16122787	16136657	NC_035780.1
XR_002633989.1	16164536	16165836	NC_035780.1
XR_002637641.1	16599027	16601365	NC_035780.1
XR_002636585.1	16608208	16611666	NC_035780.1
XR_002637687.1	16649155	16673001	NC_035780.1
XR_002637453.1	16676898	16684528	NC_035780.1
XR_002637596.1	16689590	16696512	NC_035780.1
XR_002637884.1	16863190	16864842	NC_035780.1
XR_002637648.1	17345717	17347420	NC_035780.1
XR_002634904.1	17350332	17352883	NC_035780.1
XR_002635937.1	17361114	17363177	NC_035780.1
XR_002635938.1	17368723	17369799	NC_035780.1
XR_002637712.1	17476778	17480322	NC_035780.1
XR_002635864.1	17543522	17544341	NC_035780.1
XR_002639527.1	17945216	17947937	NC_035780.1
XR_002638454.1	18048129	18049829	NC_035780.1
XR_002636217.1	18409935	18413013	NC_035780.1
XR_002636245.1	18663167	18668711	NC_035780.1
XR_002636251.1	18687786	18691110	NC_035780.1
XR_002637871.1	18836611	18837966	NC_035780.1
XR_002638817.1	18844479	18845049	NC_035780.1
XR_002639340.1	18900703	18902435	NC_035780.1
XR_002636103.1	19596391	19602076	NC_035780.1
XR_002636111.1	19670064	19676958	NC_035780.1
XR_002636110.1	19686500	19687946	NC_035780.1
XR_002636102.1	19742084	19746542	NC_035780.1
XR_002638676.1	19928293	19929251	NC_035780.1
XR_002635843.1	20052950	20054924	NC_035780.1
XR_002636610.1	20107835	20109860	NC_035780.1
XR_002635080.1	20411945	20414477	NC_035780.1
XR_002634898.1	20416263	20419215	NC_035780.1
XR_002636294.1	20782134	20784561	NC_035780.1
XR_002636554.1	21285766	21288375	NC_035780.1
XR_002637587.1	21333984	21335796	NC_035780.1
XR_002636941.1	21354118	21360247	NC_035780.1
XR_002638522.1	22152808	22154686	NC_035780.1
XR_002638528.1	22178241	22179678	NC_035780.1
XR_002638527.1	22204969	22206576	NC_035780.1
XR_002638526.1	22239888	22244455	NC_035780.1
XR_002638303.1	22334685	22336129	NC_035780.1
XR_002638302.1	22336245	22337868	NC_035780.1
XR_002638310.1	22395968	22396690	NC_035780.1
XR_002638309.1	22406127	22407865	NC_035780.1
XR_002638305.1	22441692	22446630	NC_035780.1
XR_002638307.1	22481055	22482178	NC_035780.1
XR_002638301.1	22484377	22485846	NC_035780.1
XR_002638308.1	22512963	22516253	NC_035780.1
XR_002635827.1	22857161	22858859	NC_035780.1
XR_002635063.1	22991104	22994617	NC_035780.1
XR_002637673.1	23128873	23129599	NC_035780.1
XR_002638010.1	23137503	23139004	NC_035780.1
XR_002634859.1	23161205	23167761	NC_035780.1
XR_002638247.1	23186800	23196462	NC_035780.1
XR_002638246.1	23197064	23198506	NC_035780.1
XR_002638245.1	23258389	23260245	NC_035780.1
XR_002639826.1	23504998	23509201	NC_035780.1
XR_002638966.1	23786232	23791059	NC_035780.1
XR_002638963.1	23977598	23979088	NC_035780.1
XR_002638967.1	24077143	24078135	NC_035780.1
XR_002638954.1	24132712	24165352	NC_035780.1
XR_002638964.1	24142181	24144465	NC_035780.1
XR_002638949.1	24148538	24149909	NC_035780.1
XR_002638961.1	24270287	24273129	NC_035780.1
XR_002638946.1	24292180	24297178	NC_035780.1
XR_002638943.1	24301220	24307837	NC_035780.1
XR_002638948.1	24323694	24331548	NC_035780.1
XR_002638959.1	24427354	24428452	NC_035780.1
XR_002638965.1	24428725	24430984	NC_035780.1
XR_002636492.1	24456734	24459132	NC_035780.1
XR_002636651.1	24956577	24959426	NC_035780.1
XR_002638793.1	25310790	25311782	NC_035780.1
XR_002634078.1	25542929	25546062	NC_035780.1
XR_002638874.1	25748116	25750810	NC_035780.1
XR_002639565.1	25823780	25824684	NC_035780.1
XR_002639931.1	26554948	26556361	NC_035780.1
XR_002639932.1	26583786	26586467	NC_035780.1
XR_002634837.1	26647371	26651415	NC_035780.1
XR_002636557.1	26718834	26719854	NC_035780.1
XR_002637526.1	26910859	26913225	NC_035780.1
XR_002638529.1	27147368	27150613	NC_035780.1
XR_002634986.1	27793548	27795325	NC_035780.1
XR_002635628.1	27900832	27902119	NC_035780.1
XR_002638593.1	27907260	27925020	NC_035780.1
XR_002636553.1	29224031	29225352	NC_035780.1
XR_002638839.1	30356698	30363838	NC_035780.1
XR_002638080.1	30391298	30396828	NC_035780.1
XR_002639722.1	30488915	30491526	NC_035780.1
XR_002638264.1	30845088	30847135	NC_035780.1
XR_002633663.1	31074889	31076386	NC_035780.1
XR_002633662.1	31151391	31159382	NC_035780.1
XR_002637946.1	31488823	31490702	NC_035780.1
XR_002639983.1	31598522	31599288	NC_035780.1
XR_002639982.1	31713165	31715267	NC_035780.1
XR_002638078.1	31857016	31859519	NC_035780.1
XR_002633751.1	32350633	32352623	NC_035780.1
XR_002636430.1	32941841	32949436	NC_035780.1
XR_002638224.1	32955176	32959361	NC_035780.1
XR_002633802.1	32999590	33000787	NC_035780.1
XR_002638445.1	33450544	33452011	NC_035780.1
XR_002635629.1	33722701	33724248	NC_035780.1
XR_002635771.1	33733647	33735301	NC_035780.1
XR_002638358.1	33754195	33758407	NC_035780.1
XR_002639602.1	33848374	33849483	NC_035780.1
XR_002638256.1	34158376	34159014	NC_035780.1
XR_002638056.1	35158752	35159810	NC_035780.1
XR_002637756.1	35391747	35393354	NC_035780.1
XR_002637665.1	35409161	35410007	NC_035780.1
XR_002634963.1	35636595	35637781	NC_035780.1
XR_002636599.1	36197550	36202260	NC_035780.1
XR_002639766.1	36637960	36643196	NC_035780.1
XR_002639642.1	36835956	36836836	NC_035780.1
XR_002639641.1	36883215	36884353	NC_035780.1
XR_002636930.1	36918246	36918955	NC_035780.1
XR_002638482.1	36936953	36940510	NC_035780.1
XR_002637529.1	37745862	37746742	NC_035780.1
XR_002634513.1	38248760	38251167	NC_035780.1
XR_002636295.1	38252741	38255533	NC_035780.1
XR_002636739.1	38341431	38342474	NC_035780.1
XR_002637883.1	38627696	38628784	NC_035780.1
XR_002637436.1	39011171	39016423	NC_035780.1
XR_002637437.1	39018976	39020761	NC_035780.1
XR_002638150.1	39434743	39443607	NC_035780.1
XR_002639268.1	39612760	39614506	NC_035780.1
XR_002637603.1	39623614	39624963	NC_035780.1
XR_002637605.1	39631686	39633453	NC_035780.1
XR_002637668.1	39869896	39874785	NC_035780.1
XR_002637647.1	39977746	39980663	NC_035780.1
XR_002638534.1	40199493	40200198	NC_035780.1
XR_002638628.1	40683644	40688406	NC_035780.1
XR_002639363.1	40898058	40899340	NC_035780.1
XR_002639364.1	40950405	40951859	NC_035780.1
XR_002635622.1	41062861	41063536	NC_035780.1
XR_002635617.1	41212697	41226874	NC_035780.1
XR_002635618.1	41447087	41448986	NC_035780.1
XR_002638255.1	41600200	41601813	NC_035780.1
XR_002637606.1	41687315	41688412	NC_035780.1
XR_002637747.1	41700522	41702073	NC_035780.1
XR_002637642.1	41893543	41895668	NC_035780.1
XR_002637006.1	41906699	41908886	NC_035780.1
XR_002638214.1	42998703	43000196	NC_035780.1
XR_002634024.1	43592970	43596535	NC_035780.1
XR_002638541.1	44037936	44039955	NC_035780.1
XR_002635887.1	44474776	44479213	NC_035780.1
XR_002635890.1	44479409	44480804	NC_035780.1
XR_002636668.1	44696973	44699101	NC_035780.1
XR_002637607.1	44833091	44833825	NC_035780.1
XR_002634785.1	44835605	44840045	NC_035780.1
XR_002637655.1	45174393	45176257	NC_035780.1
XR_002637084.1	45248403	45250532	NC_035780.1
XR_002637018.1	45470378	45471773	NC_035780.1
XR_002635856.1	45993188	45999624	NC_035780.1
XR_002634460.1	46446177	46449809	NC_035780.1
XR_002634121.1	47499226	47502450	NC_035780.1
XR_002637961.1	48145440	48147181	NC_035780.1
XR_002634651.1	48238855	48240347	NC_035780.1
XR_002634398.1	48426496	48430543	NC_035780.1
XR_002634436.1	48632275	48634124	NC_035780.1
XR_002638323.1	48687248	48690959	NC_035780.1
XR_002638318.1	48806282	48822702	NC_035780.1
XR_002638278.1	49079802	49082281	NC_035780.1
XR_002638270.1	49114909	49118494	NC_035780.1
XR_002638052.1	49235162	49237919	NC_035780.1
XR_002637577.1	49447101	49447597	NC_035780.1
XR_002637581.1	49457785	49459219	NC_035780.1
XR_002637576.1	49463300	49463951	NC_035780.1
XR_002638049.1	49992306	49993584	NC_035780.1
XR_002638048.1	50157574	50163539	NC_035780.1
XR_002637664.1	50377529	50378306	NC_035780.1
XR_002634866.1	50399286	50400590	NC_035780.1
XR_002634137.1	50446222	50447903	NC_035780.1
XR_002639373.1	50744829	50754670	NC_035780.1
XR_002638923.1	50845979	50846425	NC_035780.1
XR_002638924.1	50856952	50858387	NC_035780.1
XR_002638205.1	50983662	50990475	NC_035780.1
XR_002637672.1	51558564	51575174	NC_035780.1
XR_002637474.1	51631867	51633152	NC_035780.1
XR_002637435.1	51708865	51710568	NC_035780.1
XR_002636112.1	51728073	51754651	NC_035780.1
XR_002638767.1	52008238	52017074	NC_035780.1
XR_002635684.1	52164747	52166063	NC_035780.1
XR_002634696.1	52253141	52254608	NC_035780.1
XR_002634692.1	52254611	52256126	NC_035780.1
XR_002635449.1	52461552	52465074	NC_035780.1
XR_002637485.1	52729824	52747349	NC_035780.1
XR_002638388.1	52750729	52751403	NC_035780.1
XR_002636185.1	52823996	52832080	NC_035780.1
XR_002637601.1	52980681	52998248	NC_035780.1
XR_002638636.1	53236606	53241448	NC_035780.1
XR_002637671.1	53269831	53271308	NC_035780.1
XR_002636291.1	53288952	53290959	NC_035780.1
XR_002637960.1	53343821	53344678	NC_035780.1
XR_002637517.1	53371083	53374978	NC_035780.1
XR_002634610.1	53461420	53463010	NC_035780.1
XR_002634617.1	53463013	53464484	NC_035780.1
XR_002637016.1	53527905	53529188	NC_035780.1
XR_002638146.1	53597417	53598325	NC_035780.1
XR_002636833.1	53996950	54006243	NC_035780.1
XR_002635793.1	54303243	54304082	NC_035780.1
XR_002639774.1	54543593	54549017	NC_035780.1
XR_002638969.1	54584515	54585802	NC_035780.1
XR_002638910.1	54662942	54664068	NC_035780.1
XR_002637830.1	55000105	55001873	NC_035780.1
XR_002637831.1	55011347	55014579	NC_035780.1
XR_002637832.1	55015238	55017064	NC_035780.1
XR_002634053.1	55199157	55201873	NC_035780.1
XR_002636597.1	55221866	55224936	NC_035780.1
XR_002636381.1	55248398	55250384	NC_035780.1
XR_002639725.1	55585988	55597919	NC_035780.1
XR_002634050.1	55822526	55824218	NC_035780.1
XR_002638620.1	56406183	56424452	NC_035780.1
XR_002638618.1	56463683	56469069	NC_035780.1
XR_002635109.1	56595678	56599260	NC_035780.1
XR_002634939.1	56649508	56656456	NC_035780.1
XR_002639204.1	56732210	56745924	NC_035780.1
XR_002638136.1	56806280	56807825	NC_035780.1
XR_002637401.1	56811860	56813954	NC_035780.1
XR_002638635.1	57225781	57228011	NC_035780.1
XR_002638367.1	57541621	57542811	NC_035780.1
XR_002638368.1	57740592	57741660	NC_035780.1
XR_002639639.1	57860447	57864377	NC_035780.1
XR_002633819.1	58573041	58576360	NC_035780.1
XR_002635627.1	58654404	58656528	NC_035780.1
XR_002635683.1	58658936	58660737	NC_035780.1
XR_002634054.1	58900521	58904034	NC_035780.1
XR_002635957.1	59148289	59163497	NC_035780.1
XR_002638153.1	59391425	59395827	NC_035780.1
XR_002638872.1	59491928	59496634	NC_035780.1
XR_002634501.1	59548791	59555642	NC_035780.1
XR_002639721.1	59993800	59995164	NC_035780.1
XR_002638249.1	60091575	60091957	NC_035780.1
XR_002638668.1	60093135	60093528	NC_035780.1
XR_002638597.1	60094696	60095090	NC_035780.1
XR_002638483.1	60096048	60096635	NC_035780.1
XR_002637845.1	60233615	60237640	NC_035780.1
XR_002637904.1	60523576	60526982	NC_035780.1
XR_002637180.1	60548240	60549860	NC_035780.1
XR_002638971.1	60582499	60600638	NC_035780.1
XR_002638972.1	60590094	60593259	NC_035780.1
XR_002640012.1	60660848	60662421	NC_035780.1
XR_002640000.1	60668586	60673866	NC_035780.1
XR_002636549.1	60858768	60882774	NC_035780.1
XR_002639955.1	61201772	61205916	NC_035780.1
XR_002639855.1	61381213	61383272	NC_035780.1
XR_002636616.1	61763937	61768797	NC_035780.1
XR_002634343.1	62712756	62729993	NC_035780.1
XR_002635776.1	63049890	63051882	NC_035780.1
XR_002633734.1	63234765	63236237	NC_035780.1
XR_002635327.1	63238420	63245314	NC_035780.1
XR_002635815.1	63250039	63252117	NC_035780.1
XR_002633725.1	63655212	63660056	NC_035780.1
XR_002636556.1	64048745	64050276	NC_035780.1
XR_002636914.1	64069279	64072759	NC_035780.1
XR_002638149.1	64765133	64767298	NC_035780.1
XR_002634988.1	64877277	64877702	NC_035780.1
XR_002637826.1	64904284	64905422	NC_035780.1
XR_002637828.1	65189781	65190611	NC_035780.1
XR_002637835.1	65318695	65321551	NC_035780.1
XR_002638152.1	65407041	65408309	NC_035780.1
XR_002636253.1	65441199	65441634	NC_035780.1
XR_002637899.1	49808	52721	NC_035781.1
XR_002637901.1	161492	162875	NC_035781.1
XR_002637897.1	251828	252738	NC_035781.1
XR_002637878.1	351631	354845	NC_035781.1
XR_002637516.1	1112918	1116872	NC_035781.1
XR_002637679.1	1271190	1273681	NC_035781.1
XR_002637580.1	1602826	1603236	NC_035781.1
XR_002637800.1	2095447	2096314	NC_035781.1
XR_002637869.1	2933743	2944445	NC_035781.1
XR_002637822.1	3454406	3458433	NC_035781.1
XR_002637622.1	4094605	4108505	NC_035781.1
XR_002637658.1	4562219	4563250	NC_035781.1
XR_002637711.1	5325572	5328709	NC_035781.1
XR_002637741.1	5755169	5760901	NC_035781.1
XR_002637662.1	5825661	5830238	NC_035781.1
XR_002637416.1	6215543	6216050	NC_035781.1
XR_002637567.1	7114860	7117856	NC_035781.1
XR_002637637.1	8293524	8294818	NC_035781.1
XR_002637638.1	8295334	8296319	NC_035781.1
XR_002637455.1	8903072	8903736	NC_035781.1
XR_002637440.1	8917036	8928186	NC_035781.1
XR_002637382.1	8957149	8982822	NC_035781.1
XR_002637842.1	9042319	9044355	NC_035781.1
XR_002637553.1	9162284	9163032	NC_035781.1
XR_002637765.1	9238810	9244353	NC_035781.1
XR_002637725.1	9756567	9760051	NC_035781.1
XR_002637442.1	9860911	9864817	NC_035781.1
XR_002637865.1	11116763	11120150	NC_035781.1
XR_002637615.1	11275659	11276787	NC_035781.1
XR_002637866.1	11424652	11427802	NC_035781.1
XR_002637489.1	11623098	11626124	NC_035781.1
XR_002637384.1	12277501	12326279	NC_035781.1
XR_002637510.1	12601141	12603874	NC_035781.1
XR_002637508.1	12615228	12627086	NC_035781.1
XR_002637507.1	12630037	12647396	NC_035781.1
XR_002637426.1	12918708	12925302	NC_035781.1
XR_002637431.1	13042949	13046219	NC_035781.1
XR_002637389.1	13820332	13821651	NC_035781.1
XR_002637388.1	13852913	13856265	NC_035781.1
XR_002637390.1	13858136	13859514	NC_035781.1
XR_002637775.1	14966021	14969255	NC_035781.1
XR_002637754.1	15093130	15099539	NC_035781.1
XR_002637551.1	15432526	15434348	NC_035781.1
XR_002637501.1	16368786	16369650	NC_035781.1
XR_002637502.1	16370108	16370454	NC_035781.1
XR_002637570.1	16508479	16511188	NC_035781.1
XR_002637571.1	16514213	16517781	NC_035781.1
XR_002637569.1	16534259	16540941	NC_035781.1
XR_002637867.1	16870948	16877239	NC_035781.1
XR_002637873.1	17434749	17435393	NC_035781.1
XR_002637863.1	18046202	18049264	NC_035781.1
XR_002637695.1	18182659	18186265	NC_035781.1
XR_002637847.1	19030933	19032992	NC_035781.1
XR_002637697.1	19141167	19148819	NC_035781.1
XR_002637409.1	19218965	19222598	NC_035781.1
XR_002637481.1	19301918	19314985	NC_035781.1
XR_002637628.1	19379705	19421674	NC_035781.1
XR_002637503.1	19669409	19673241	NC_035781.1
XR_002637586.1	20335861	20340211	NC_035781.1
XR_002637892.1	20699589	20706960	NC_035781.1
XR_002637405.1	21111354	21113476	NC_035781.1
XR_002637660.1	21498172	21504654	NC_035781.1
XR_002637811.1	23044622	23050574	NC_035781.1
XR_002637527.1	23650718	23652761	NC_035781.1
XR_002637490.1	24214710	24215640	NC_035781.1
XR_002637750.1	24320957	24322621	NC_035781.1
XR_002637749.1	24333428	24337426	NC_035781.1
XR_002637751.1	24341733	24343034	NC_035781.1
XR_002637574.1	24948566	24952386	NC_035781.1
XR_002637575.1	25026309	25028255	NC_035781.1
XR_002637420.1	25103673	25108660	NC_035781.1
XR_002637690.1	25579738	25583814	NC_035781.1
XR_002637757.1	25660999	25666396	NC_035781.1
XR_002637740.1	26374901	26378410	NC_035781.1
XR_002637821.1	26454459	26455310	NC_035781.1
XR_002637478.1	26615736	26617339	NC_035781.1
XR_002637477.1	26617710	26618198	NC_035781.1
XR_002637805.1	26855809	26858966	NC_035781.1
XR_002637804.1	26860027	26861743	NC_035781.1
XR_002637803.1	26863189	26867316	NC_035781.1
XR_002637428.1	26950142	26952693	NC_035781.1
XR_002637848.1	26980285	26982013	NC_035781.1
XR_002637475.1	27014622	27017958	NC_035781.1
XR_002637471.1	27023180	27024052	NC_035781.1
XR_002637808.1	27396422	27398179	NC_035781.1
XR_002637392.1	27511512	27512993	NC_035781.1
XR_002637504.1	27684096	27686630	NC_035781.1
XR_002637868.1	27751752	27753682	NC_035781.1
XR_002637792.1	27767385	27768507	NC_035781.1
XR_002637889.1	28546629	28547962	NC_035781.1
XR_002637446.1	29197234	29199871	NC_035781.1
XR_002637445.1	29200241	29205303	NC_035781.1
XR_002637391.1	29243081	29245539	NC_035781.1
XR_002637834.1	29254355	29259203	NC_035781.1
XR_002637447.1	29478042	29479299	NC_035781.1
XR_002637693.1	29647659	29653997	NC_035781.1
XR_002637500.1	30099310	30110021	NC_035781.1
XR_002637844.1	30420407	30421827	NC_035781.1
XR_002637732.1	30652240	30667979	NC_035781.1
XR_002637397.1	31261306	31267274	NC_035781.1
XR_002637793.1	31423238	31434371	NC_035781.1
XR_002637513.1	31696590	31702593	NC_035781.1
XR_002637492.1	31738773	31739534	NC_035781.1
XR_002637591.1	32070769	32071531	NC_035781.1
XR_002637589.1	32086499	32087925	NC_035781.1
XR_002637590.1	32196711	32197747	NC_035781.1
XR_002637592.1	32208903	32212283	NC_035781.1
XR_002637379.1	32247754	32251696	NC_035781.1
XR_002637896.1	32848541	32849841	NC_035781.1
XR_002637730.1	33387094	33389833	NC_035781.1
XR_002637902.1	33752710	33772874	NC_035781.1
XR_002637876.1	33787555	33789138	NC_035781.1
XR_002637742.1	34374026	34375921	NC_035781.1
XR_002637779.1	34686809	34688303	NC_035781.1
XR_002637399.1	34916008	34917388	NC_035781.1
XR_002637550.1	35017383	35018108	NC_035781.1
XR_002637813.1	35246080	35254653	NC_035781.1
XR_002637770.1	35312615	35313391	NC_035781.1
XR_002637614.1	35805696	35806978	NC_035781.1
XR_002637612.1	35863178	35867911	NC_035781.1
XR_002637613.1	35906576	35910107	NC_035781.1
XR_002637782.1	36113637	36114426	NC_035781.1
XR_002637780.1	36242113	36245730	NC_035781.1
XR_002637849.1	36434796	36438374	NC_035781.1
XR_002637746.1	36884974	36889039	NC_035781.1
XR_002637464.1	37362490	37368790	NC_035781.1
XR_002637466.1	37467445	37476678	NC_035781.1
XR_002637461.1	37546837	37553391	NC_035781.1
XR_002637855.1	38246086	38247402	NC_035781.1
XR_002637698.1	38298884	38300171	NC_035781.1
XR_002637482.1	38300703	38303999	NC_035781.1
XR_002637649.1	38311072	38317341	NC_035781.1
XR_002637496.1	38744893	38781840	NC_035781.1
XR_002637294.1	38844522	38847993	NC_035781.1
XR_002637814.1	38875285	38876424	NC_035781.1
XR_002637815.1	38883459	38884647	NC_035781.1
XR_002637398.1	38897151	38898381	NC_035781.1
XR_002637755.1	39419947	39421015	NC_035781.1
XR_002637657.1	39678979	39679324	NC_035781.1
XR_002637656.1	39679824	39681416	NC_035781.1
XR_002637406.1	39959562	39961006	NC_035781.1
XR_002637429.1	39966968	39968075	NC_035781.1
XR_002637456.1	39985905	39987851	NC_035781.1
XR_002637893.1	40006363	40009261	NC_035781.1
XR_002637385.1	40025721	40029147	NC_035781.1
XR_002637624.1	40367098	40432701	NC_035781.1
XR_002637891.1	40438319	40439230	NC_035781.1
XR_002637768.1	40945492	40947350	NC_035781.1
XR_002637515.1	41011867	41016971	NC_035781.1
XR_002637694.1	41122778	41124362	NC_035781.1
XR_002637798.1	41374434	41378987	NC_035781.1
XR_002637600.1	41891855	41899691	NC_035781.1
XR_002637486.1	41967257	41968981	NC_035781.1
XR_002637488.1	41968976	41970428	NC_035781.1
XR_002637767.1	42141276	42184263	NC_035781.1
XR_002637602.1	42728109	42732937	NC_035781.1
XR_002637552.1	43407862	43408785	NC_035781.1
XR_002637894.1	43432962	43437266	NC_035781.1
XR_002637441.1	43440042	43441921	NC_035781.1
XR_002637864.1	43450908	43455379	NC_035781.1
XR_002637817.1	43476282	43478624	NC_035781.1
XR_002637452.1	43500832	43502660	NC_035781.1
XR_002637422.1	43597456	43599410	NC_035781.1
XR_002637717.1	43808468	43810950	NC_035781.1
XR_002637771.1	44108543	44109198	NC_035781.1
XR_002637733.1	44582199	44586441	NC_035781.1
XR_002637692.1	44624689	44627580	NC_035781.1
XR_002637691.1	44628615	44631171	NC_035781.1
XR_002637819.1	45379047	45382654	NC_035781.1
XR_002637776.1	45393445	45397332	NC_035781.1
XR_002637395.1	45685259	45693273	NC_035781.1
XR_002637396.1	45705178	45707420	NC_035781.1
XR_002637394.1	45708086	45710047	NC_035781.1
XR_002637872.1	46267895	46268989	NC_035781.1
XR_002637598.1	46492321	46494307	NC_035781.1
XR_002637718.1	46520450	46521537	NC_035781.1
XR_002637769.1	46803683	46806070	NC_035781.1
XR_002637451.1	46942433	46943778	NC_035781.1
XR_002637480.1	46966764	46970314	NC_035781.1
XR_002637427.1	47381798	47386994	NC_035781.1
XR_002637874.1	47393411	47397226	NC_035781.1
XR_002637393.1	47633548	47634480	NC_035781.1
XR_002637704.1	47750126	47751718	NC_035781.1
XR_002637870.1	48469593	48472517	NC_035781.1
XR_002637373.1	48633885	48640247	NC_035781.1
XR_002637887.1	48949419	48957514	NC_035781.1
XR_002637402.1	49233277	49239595	NC_035781.1
XR_002637449.1	49258868	49259206	NC_035781.1
XR_002637739.1	49405031	49409424	NC_035781.1
XR_002637743.1	49572552	49575361	NC_035781.1
XR_002637801.1	49579116	49580622	NC_035781.1
XR_002637375.1	50010048	50014728	NC_035781.1
XR_002637699.1	50201261	50202767	NC_035781.1
XR_002637450.1	50932553	50937386	NC_035781.1
XR_002637555.1	50940498	50941875	NC_035781.1
XR_002637479.1	51197818	51200882	NC_035781.1
XR_002637723.1	51541369	51542197	NC_035781.1
XR_002637721.1	51584306	51591964	NC_035781.1
XR_002637722.1	51635557	51638798	NC_035781.1
XR_002637720.1	51773693	51777193	NC_035781.1
XR_002637654.1	51866993	51871048	NC_035781.1
XR_002637564.1	52191036	52193561	NC_035781.1
XR_002637824.1	52352911	52356427	NC_035781.1
XR_002637547.1	52611705	52613364	NC_035781.1
XR_002637546.1	52765388	52769537	NC_035781.1
XR_002637578.1	53163530	53168582	NC_035781.1
XR_002637579.1	53172413	53173762	NC_035781.1
XR_002637841.1	53754293	53755514	NC_035781.1
XR_002637839.1	53755542	53757871	NC_035781.1
XR_002637417.1	53875831	53882440	NC_035781.1
XR_002637411.1	54024433	54025438	NC_035781.1
XR_002637701.1	54595725	54611872	NC_035781.1
XR_002637728.1	54703528	54706729	NC_035781.1
XR_002637415.1	54776691	54778131	NC_035781.1
XR_002637763.1	54916002	54917616	NC_035781.1
XR_002637761.1	54917643	54923865	NC_035781.1
XR_002637790.1	54989717	54995162	NC_035781.1
XR_002637625.1	55278932	55283903	NC_035781.1
XR_002637383.1	56426937	56428541	NC_035781.1
XR_002637852.1	56472879	56476818	NC_035781.1
XR_002637653.1	57103067	57112723	NC_035781.1
XR_002637413.1	57412424	57414551	NC_035781.1
XR_002637795.1	57506741	57508765	NC_035781.1
XR_002637548.1	57701480	57703702	NC_035781.1
XR_002637846.1	58214733	58217037	NC_035781.1
