XP	start	end	chr
XP_022286274.1	60837842	60846320	NC_035784.1
XP_022286275.1	60837842	60846320	NC_035784.1
XP_022286276.1	60830447	60833991	NC_035784.1
XP_022286277.1	29390460	29393197	NC_035784.1
XP_022286278.1	33321256	33321713	NC_035784.1
XP_022286279.1	13291224	13317267	NC_035784.1
XP_022286280.1	39631267	39653497	NC_035784.1
XP_022286281.1	10767517	10779452	NC_035780.1
XP_022286282.1	39617601	39630893	NC_035784.1
XP_022286283.1	41999652	42000725	NC_035784.1
XP_022286284.1	78724795	78724795	NC_035784.1
XP_022286285.1	78724795	78724795	NC_035784.1
XP_022286286.1	49197428	49208729	NC_035780.1
XP_022286287.1	78724795	78724795	NC_035784.1
XP_022286288.1	78724795	78724795	NC_035784.1
XP_022286289.1	78724795	78724795	NC_035784.1
XP_022286290.1	95992416	96003122	NC_035784.1
XP_022286291.1	28333622	28334477	NC_035784.1
XP_022286292.1	13604956	13608400	NC_035784.1
XP_022286293.1	69081208	69082920	NC_035784.1
XP_022286294.1	33511755	33516697	NC_035780.1
XP_022286295.1	2070290	2071915	NC_035784.1
XP_022286296.1	87634266	87647652	NC_035784.1
XP_022286297.1	81408700	81415447	NC_035784.1
XP_022286298.1	81415702	81419644	NC_035784.1
XP_022286299.1	81415702	81419644	NC_035784.1
XP_022286300.1	8382855	8385747	NC_035784.1
XP_022286301.1	66563238	66564624	NC_035784.1
XP_022286302.1	33511755	33516697	NC_035780.1
XP_022286303.1	57733764	57734546	NC_035784.1
XP_022286304.1	83050250	83060044	NC_035784.1
XP_022286305.1	61436278	61446934	NC_035784.1
XP_022286306.1	7765148	7766023	NC_035784.1
XP_022286307.1	91030232	91031886	NC_035784.1
XP_022286308.1	91030232	91031886	NC_035784.1
XP_022286309.1	43029216	43040089	NC_035784.1
XP_022286310.1	50463899	50463899	NC_035784.1
XP_022286311.1	14449070	14455745	NC_035780.1
XP_022286312.1	18213234	18224889	NC_035784.1
XP_022286313.1	18213234	18224889	NC_035784.1
XP_022286314.1	18213234	18224889	NC_035784.1
XP_022286315.1	18212970	18224889	NC_035784.1
XP_022286316.1	18212970	18224889	NC_035784.1
XP_022286317.1	18213234	18224889	NC_035784.1
XP_022286318.1	18213234	18226136	NC_035784.1
XP_022286319.1	18213234	18226136	NC_035784.1
XP_022286320.1	18213234	18226136	NC_035784.1
XP_022286321.1	18213234	18226136	NC_035784.1
XP_022286322.1	18213234	18226136	NC_035784.1
XP_022286323.1	18213234	18224889	NC_035784.1
XP_022286324.1	18213234	18224248	NC_035784.1
XP_022286325.1	18213234	18225193	NC_035784.1
XP_022286326.1	14443290	14448324	NC_035780.1
XP_022286327.1	18213234	18224239	NC_035784.1
XP_022286328.1	18213234	18224248	NC_035784.1
XP_022286329.1	18213234	18226136	NC_035784.1
XP_022286330.1	38094407	38103274	NC_035784.1
XP_022286331.1	38094407	38103274	NC_035784.1
XP_022286332.1	38094407	38103274	NC_035784.1
XP_022286333.1	38094407	38103274	NC_035784.1
XP_022286334.1	38094407	38103274	NC_035784.1
XP_022286335.1	38094407	38103274	NC_035784.1
XP_022286336.1	1715993	1728865	NC_035784.1
XP_022286337.1	1715993	1724201	NC_035784.1
XP_022286338.1	48386345	48392293	NC_035780.1
XP_022286339.1	8937008	8946397	NC_035784.1
XP_022286340.1	47835672	47837297	NC_035784.1
XP_022286341.1	47829087	47833610	NC_035784.1
XP_022286342.1	7571982	7577633	NC_035784.1
XP_022286343.1	95626805	95626805	NC_035784.1
XP_022286344.1	64512970	64513742	NC_035784.1
XP_022286345.1	64507021	64512545	NC_035784.1
XP_022286346.1	64506027	64512545	NC_035784.1
XP_022286347.1	64506027	64512545	NC_035784.1
XP_022286348.1	64506027	64512545	NC_035784.1
XP_022286349.1	52698345	52699035	NC_035784.1
XP_022286350.1	2380747	2390900	NC_035780.1
XP_022286351.1	50725589	50734829	NC_035784.1
XP_022286352.1	32243245	32257253	NC_035784.1
XP_022286353.1	71374236	71381141	NC_035784.1
XP_022286354.1	35895700	35896254	NC_035784.1
XP_022286355.1	32471580	32474900	NC_035784.1
XP_022286356.1	32475094	32482273	NC_035784.1
XP_022286357.1	980478	986066	NC_035784.1
XP_022286358.1	27674130	27720298	NC_035784.1
XP_022286359.1	58885105	58892691	NC_035784.1
XP_022286360.1	62998643	63007193	NC_035784.1
XP_022286361.1	31010433	31103313	NC_035780.1
XP_022286362.1	62998643	63007193	NC_035784.1
XP_022286363.1	62996337	62997986	NC_035784.1
XP_022286364.1	93454090	93464950	NC_035784.1
XP_022286365.1	93454090	93464024	NC_035784.1
XP_022286366.1	49197178	49208729	NC_035780.1
XP_022286367.1	93454090	93464024	NC_035784.1
XP_022286368.1	93454090	93464024	NC_035784.1
XP_022286369.1	93454090	93464024	NC_035784.1
XP_022286370.1	93454090	93464024	NC_035784.1
XP_022286371.1	31010433	31103313	NC_035780.1
XP_022286372.1	71961878	71961878	NC_035784.1
XP_022286373.1	88428583	88428583	NC_035784.1
XP_022286374.1	22593795	22599757	NC_035784.1
XP_022286375.1	75252766	75255994	NC_035784.1
XP_022286376.1	75252766	75255994	NC_035784.1
XP_022286377.1	75252766	75255994	NC_035784.1
XP_022286378.1	560911	568387	NC_035784.1
XP_022286379.1	31010433	31053365	NC_035780.1
XP_022286380.1	43286262	43288077	NC_035784.1
XP_022286381.1	2909702	2933367	NC_035784.1
XP_022286382.1	2927994	2933367	NC_035784.1
XP_022286383.1	31010433	31059398	NC_035780.1
XP_022286384.1	31235851	31247559	NC_035780.1
XP_022286385.1	31109916	31231853	NC_035780.1
XP_022286386.1	11619836	11623949	NC_035780.1
XP_022286387.1	17038854	17040076	NC_035780.1
XP_022286388.1	11619836	11623949	NC_035780.1
XP_022286389.1	11625875	11628535	NC_035780.1
XP_022286390.1	61372303	61379193	NC_035780.1
XP_022286391.1	55786726	55791288	NC_035780.1
XP_022286392.1	49190066	49194101	NC_035780.1
XP_022286393.1	55793843	55794292	NC_035780.1
XP_022286394.1	55793924	55794292	NC_035780.1
XP_022286395.1	55793924	55794292	NC_035780.1
XP_022286396.1	24369257	24382567	NC_035785.1
XP_022286397.1	24369257	24382567	NC_035785.1
XP_022286398.1	45274753	45276287	NC_035785.1
XP_022286399.1	7935582	7960444	NC_035780.1
XP_022286400.1	3367836	3375761	NC_035785.1
XP_022286401.1	20316010	20316010	NC_035785.1
XP_022286402.1	20316010	20316010	NC_035785.1
XP_022286403.1	43449517	43466721	NC_035785.1
XP_022286404.1	3629827	3637995	NC_035785.1
XP_022286405.1	33602565	33612635	NC_035785.1
XP_022286406.1	1583679	1585436	NC_035785.1
XP_022286407.1	18923361	18924749	NC_035785.1
XP_022286408.1	58791576	58795947	NC_035780.1
XP_022286409.1	45418947	45424509	NC_035785.1
XP_022286410.1	48847123	48851135	NC_035785.1
XP_022286411.1	48847123	48851135	NC_035785.1
XP_022286412.1	48847123	48851135	NC_035785.1
XP_022286413.1	42646269	42660911	NC_035785.1
XP_022286414.1	42646269	42660911	NC_035785.1
XP_022286415.1	42646269	42660448	NC_035785.1
XP_022286416.1	42668900	42677969	NC_035785.1
XP_022286417.1	42668900	42677969	NC_035785.1
XP_022286418.1	58791576	58795947	NC_035780.1
XP_022286419.1	1736845	1738027	NC_035785.1
XP_022286420.1	1739817	1740946	NC_035785.1
XP_022286421.1	47921202	47923374	NC_035785.1
XP_022286422.1	47921202	47923374	NC_035785.1
XP_022286423.1	3084471	3086370	NC_035785.1
XP_022286424.1	58791576	58795947	NC_035780.1
XP_022286425.1	6421930	6423440	NC_035785.1
XP_022286426.1	24987283	24988951	NC_035785.1
XP_022286427.1	11500123	11500123	NC_035785.1
XP_022286428.1	24704932	24735275	NC_035785.1
XP_022286429.1	24704932	24735275	NC_035785.1
XP_022286430.1	24718888	24735275	NC_035785.1
XP_022286431.1	33545962	33551055	NC_035785.1
XP_022286432.1	33532661	33538159	NC_035785.1
XP_022286433.1	58766502	58774988	NC_035780.1
XP_022286434.1	33532661	33537663	NC_035785.1
XP_022286435.1	33658822	33664572	NC_035785.1
XP_022286436.1	3400914	3402025	NC_035785.1
XP_022286437.1	5585398	5588803	NC_035785.1
XP_022286438.1	27959582	27959582	NC_035785.1
XP_022286439.1	27959582	27959582	NC_035785.1
XP_022286440.1	27938253	27960259	NC_035785.1
XP_022286441.1	36926784	36927139	NC_035785.1
XP_022286442.1	4276137	4279636	NC_035785.1
XP_022286443.1	58779509	58780109	NC_035780.1
XP_022286444.1	34113877	34114045	NC_035785.1
XP_022286445.1	24475196	24475765	NC_035785.1
XP_022286446.1	33915979	33930490	NC_035785.1
XP_022286447.1	33915979	33930490	NC_035785.1
XP_022286448.1	33915979	33930490	NC_035785.1
XP_022286449.1	33915979	33930490	NC_035785.1
XP_022286450.1	33932011	33935113	NC_035785.1
XP_022286451.1	60384009	60384009	NC_035780.1
XP_022286452.1	33932011	33935113	NC_035785.1
XP_022286453.1	33942154	33947318	NC_035785.1
XP_022286454.1	457083	472076	NC_035785.1
XP_022286455.1	28100751	28150974	NC_035785.1
XP_022286456.1	28100751	28150974	NC_035785.1
XP_022286457.1	28103453	28150974	NC_035785.1
XP_022286458.1	28100751	28146334	NC_035785.1
XP_022286459.1	13985751	13994303	NC_035785.1
XP_022286460.1	60384009	60384009	NC_035780.1
XP_022286461.1	13985932	13994303	NC_035785.1
XP_022286462.1	46101607	46112519	NC_035785.1
XP_022286463.1	6271601	6297450	NC_035785.1
XP_022286464.1	32677038	32684189	NC_035785.1
XP_022286465.1	32415399	32415399	NC_035785.1
XP_022286466.1	12650655	12650655	NC_035785.1
XP_022286467.1	35410408	35411750	NC_035785.1
XP_022286468.1	25302243	25305587	NC_035785.1
XP_022286469.1	16412953	16414644	NC_035780.1
XP_022286470.1	53873125	53878612	NC_035780.1
XP_022286471.1	41412988	41414569	NC_035785.1
XP_022286472.1	41358975	41363227	NC_035785.1
XP_022286473.1	41358975	41363227	NC_035785.1
XP_022286474.1	35973635	36000978	NC_035785.1
XP_022286475.1	35962834	35969638	NC_035785.1
XP_022286476.1	35959778	35961155	NC_035785.1
XP_022286477.1	35959778	35961155	NC_035785.1
XP_022286478.1	9835681	9836583	NC_035785.1
XP_022286479.1	12130798	12141993	NC_035785.1
XP_022286480.1	35727164	35766941	NC_035785.1
XP_022286481.1	35727164	35766941	NC_035785.1
XP_022286482.1	35727164	35766941	NC_035785.1
XP_022286483.1	53869340	53870311	NC_035780.1
XP_022286484.1	35735583	35766941	NC_035785.1
XP_022286485.1	39915801	39923292	NC_035785.1
XP_022286486.1	65471	65471	NC_035785.1
XP_022286487.1	22923139	22945384	NC_035785.1
XP_022286488.1	22923139	22945384	NC_035785.1
XP_022286489.1	22923139	22945384	NC_035785.1
XP_022286490.1	22923139	22945384	NC_035785.1
XP_022286491.1	22923139	22945384	NC_035785.1
XP_022286492.1	53869340	53870311	NC_035780.1
XP_022286493.1	22923139	22945384	NC_035785.1
XP_022286494.1	22920300	22945384	NC_035785.1
XP_022286495.1	868528	871747	NC_035785.1
XP_022286496.1	40067421	40077305	NC_035785.1
XP_022286497.1	40067421	40077305	NC_035785.1
XP_022286498.1	47973332	47979239	NC_035785.1
XP_022286499.1	53869340	53870311	NC_035780.1
XP_022286500.1	47974679	47979239	NC_035785.1
XP_022286501.1	9832866	9833947	NC_035785.1
XP_022286502.1	2200376	2200376	NC_035785.1
XP_022286503.1	10580542	10595341	NC_035785.1
XP_022286504.1	36975722	36985812	NC_035785.1
XP_022286505.1	36975722	36985812	NC_035785.1
XP_022286506.1	53869340	53870311	NC_035780.1
XP_022286507.1	9819001	9819976	NC_035785.1
XP_022286508.1	50669599	50680551	NC_035785.1
XP_022286509.1	50669599	50680102	NC_035785.1
XP_022286510.1	44599873	44601296	NC_035785.1
XP_022286511.1	37133352	37136083	NC_035785.1
XP_022286512.1	28372712	28392686	NC_035785.1
XP_022286513.1	28372883	28392686	NC_035785.1
XP_022286514.1	28372883	28392686	NC_035785.1
XP_022286515.1	28372712	28392686	NC_035785.1
XP_022286516.1	41812624	41812624	NC_035785.1
XP_022286517.1	11902699	11906345	NC_035785.1
XP_022286518.1	11902699	11906346	NC_035785.1
XP_022286519.1	9859341	9870673	NC_035780.1
XP_022286520.1	11902699	11906346	NC_035785.1
XP_022286521.1	11902699	11906346	NC_035785.1
XP_022286522.1	33106041	33111843	NC_035785.1
XP_022286523.1	33110683	33111843	NC_035785.1
XP_022286524.1	9032035	9032750	NC_035785.1
XP_022286525.1	38788861	38792320	NC_035785.1
XP_022286526.1	38788861	38792320	NC_035785.1
XP_022286527.1	25416037	25469856	NC_035785.1
XP_022286528.1	36730117	36730117	NC_035785.1
XP_022286529.1	36730117	36730117	NC_035785.1
XP_022286530.1	36069662	36075797	NC_035780.1
XP_022286531.1	27565010	27566567	NC_035785.1
XP_022286532.1	42587151	42587151	NC_035785.1
XP_022286533.1	33807633	33807633	NC_035785.1
XP_022286534.1	33807633	33807633	NC_035785.1
XP_022286535.1	33807633	33807633	NC_035785.1
XP_022286536.1	18664311	18673707	NC_035785.1
XP_022286537.1	33032615	33042265	NC_035785.1
XP_022286538.1	33032615	33042265	NC_035785.1
XP_022286539.1	5240588	5288069	NC_035785.1
XP_022286540.1	5240588	5288069	NC_035785.1
XP_022286541.1	914616	922912	NC_035785.1
XP_022286542.1	29404554	29414635	NC_035780.1
XP_022286543.1	35607121	35607811	NC_035785.1
XP_022286544.1	35611874	35613472	NC_035785.1
XP_022286545.1	35640957	35660588	NC_035785.1
XP_022286546.1	30429616	30439093	NC_035785.1
XP_022286547.1	30439669	30440932	NC_035785.1
XP_022286548.1	30435393	30436272	NC_035785.1
XP_022286549.1	29405662	29414635	NC_035780.1
XP_022286550.1	32937114	32941151	NC_035785.1
XP_022286551.1	10842972	10848314	NC_035785.1
XP_022286552.1	10842738	10848314	NC_035785.1
XP_022286553.1	11410517	11410517	NC_035785.1
XP_022286554.1	11412646	11412994	NC_035785.1
XP_022286555.1	25071748	25073394	NC_035785.1
XP_022286556.1	29405295	29414635	NC_035780.1
XP_022286557.1	25084476	25085742	NC_035785.1
XP_022286558.1	25059710	25060960	NC_035785.1
XP_022286559.1	25059710	25060960	NC_035785.1
XP_022286560.1	45033522	45034461	NC_035785.1
XP_022286561.1	45032274	45032274	NC_035785.1
XP_022286562.1	29409369	29414635	NC_035780.1
XP_022286563.1	25044719	25046166	NC_035785.1
XP_022286564.1	25044719	25046166	NC_035785.1
XP_022286565.1	44906938	44909925	NC_035785.1
XP_022286566.1	51072249	51079723	NC_035785.1
XP_022286567.1	37412830	37425667	NC_035785.1
XP_022286568.1	29984397	30012150	NC_035785.1
XP_022286569.1	32124410	32124410	NC_035785.1
XP_022286570.1	8060820	8105755	NC_035785.1
XP_022286571.1	8060820	8094640	NC_035785.1
XP_022286572.1	8060820	8105755	NC_035785.1
XP_022286573.1	61431071	61445962	NC_035780.1
XP_022286574.1	9024022	9026504	NC_035785.1
XP_022286575.1	9025806	9026504	NC_035785.1
XP_022286576.1	50049504	50056455	NC_035785.1
XP_022286577.1	26036962	26036962	NC_035785.1
XP_022286578.1	38609672	38613169	NC_035785.1
XP_022286579.1	30533692	30535845	NC_035785.1
XP_022286580.1	23626365	23626863	NC_035785.1
XP_022286581.1	23505693	23506189	NC_035785.1
XP_022286582.1	23495537	23495537	NC_035785.1
XP_022286583.1	34415925	34418036	NC_035780.1
XP_022286584.1	61451711	61457029	NC_035780.1
XP_022286585.1	24239940	24254483	NC_035785.1
XP_022286586.1	24239940	24254483	NC_035785.1
XP_022286587.1	24239940	24254483	NC_035785.1
XP_022286588.1	24259722	24276989	NC_035785.1
XP_022286589.1	3420866	3427302	NC_035785.1
XP_022286590.1	3420866	3427308	NC_035785.1
XP_022286591.1	61451711	61457029	NC_035780.1
XP_022286592.1	33365813	33376054	NC_035785.1
XP_022286593.1	33365813	33377474	NC_035785.1
XP_022286594.1	1840058	1844330	NC_035785.1
XP_022286595.1	1840058	1844330	NC_035785.1
XP_022286596.1	14131929	14135678	NC_035785.1
XP_022286597.1	42633114	42642007	NC_035785.1
XP_022286598.1	25909644	25911226	NC_035785.1
XP_022286599.1	25909663	25911226	NC_035785.1
XP_022286600.1	25905483	25914363	NC_035785.1
XP_022286601.1	61422764	61430094	NC_035780.1
XP_022286602.1	5290203	5292630	NC_035785.1
XP_022286603.1	5290203	5309607	NC_035785.1
XP_022286604.1	5297660	5297660	NC_035785.1
XP_022286605.1	22697705	22701456	NC_035785.1
XP_022286606.1	22697705	22701456	NC_035785.1
XP_022286607.1	22697705	22701456	NC_035785.1
